año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2016,4.2000000000000000e+02,0,0
2016,8.0200000000000000e+02,0,0
2016,2.6600000000000000e+02,0,0
2016,1.3700000000000000e+02,0,0
2016,7.6900000000000000e+02,0,0
2016,7.7600000000000000e+02,688,7011
2016,6.4000000000000000e+02,782,7145
2016,3.1500000000000000e+02,0,0
2016,4.0000000000000000e+01,0,0
2016,5.0800000000000000e+02,333,4655
2016,4.6000000000000000e+01,0,0
2016,5.9000000000000000e+02,817,13547
2016,7.7700000000000000e+02,1067,18101
2016,8.9700000000000000e+02,2450,28399
2016,9.6500000000000000e+02,0,0
2016,4.6100000000000000e+02,0,0
2016,3.7600000000000000e+02,0,0
2016,6.2100000000000000e+02,0,0
2016,7.9300000000000000e+02,388,1015
2016,1.1020000000000000e+03,0,0
2016,7.1200000000000000e+02,0,0
2016,3.2000000000000000e+01,0,0
2016,3.6100000000000000e+02,0,0
2016,4.8600000000000000e+02,0,0
2016,5.9500000000000000e+02,0,0
2016,4.3300000000000000e+02,0,0
2016,1.0580000000000000e+03,0,0
2016,2.6100000000000000e+02,0,0
2016,7.3000000000000000e+02,0,0
2016,5.7700000000000000e+02,0,0
2016,7.8800000000000000e+02,0,0
2016,8.6500000000000000e+02,0,0
2016,9.7900000000000000e+02,0,0
2016,9.9800000000000000e+02,0,0
2016,1.0720000000000000e+03,0,0
2016,2.2100000000000000e+02,0,0
2016,5.0600000000000000e+02,0,0
2016,7.2700000000000000e+02,320,1881
2016,3.5500000000000000e+02,0,0
2016,4.8700000000000000e+02,0,0
2016,9.3800000000000000e+02,0,0
2016,8.8600000000000000e+02,0,0
2016,8.3500000000000000e+02,0,0
2016,9.9900000000000000e+02,0,0
2016,7.9800000000000000e+02,1250,11629
2016,5.0400000000000000e+02,0,0
2016,2.4700000000000000e+02,0,0
2016,2.1600000000000000e+02,0,0
2016,6.5400000000000000e+02,48,124
2016,6.5000000000000000e+01,0,0
2016,4.7200000000000000e+02,0,0
2016,4.2700000000000000e+02,0,0
2016,4.9100000000000000e+02,0,0
2016,5.5100000000000000e+02,0,0
2016,1.0600000000000000e+02,0,0
2016,8.1900000000000000e+02,0,0
2016,8.3600000000000000e+02,0,0
2016,9.1500000000000000e+02,0,0
2016,9.4200000000000000e+02,0,0
2016,7.4800000000000000e+02,1593,22758
2016,1.9800000000000000e+02,0,0
2016,8.7100000000000000e+02,747,10030
2016,9.4800000000000000e+02,0,0
2016,1.0510000000000000e+03,0,0
2016,1.0830000000000000e+03,0,0
2016,1.0960000000000000e+03,0,0
2016,6.7900000000000000e+02,630,8494
2016,1.7600000000000000e+02,0,0
2016,5.3700000000000000e+02,0,0
2016,6.0800000000000000e+02,158,5165
2016,5.9600000000000000e+02,85,685
2016,7.4900000000000000e+02,0,0
2016,7.5800000000000000e+02,277,532
2016,1.1040000000000000e+03,1650,15843
2016,4.3600000000000000e+02,0,0
2016,5.6700000000000000e+02,0,0
2016,6.7700000000000000e+02,0,0
2016,6.7000000000000000e+02,158,1845
2016,5.8800000000000000e+02,525,4095
2016,7.5300000000000000e+02,275,3209
2016,8.8700000000000000e+02,0,0
2016,2.4500000000000000e+02,0,0
2016,6.0300000000000000e+02,0,0
2016,4.2600000000000000e+02,0,0
2016,2.3200000000000000e+02,0,0
2016,2.8800000000000000e+02,0,0
2016,2.4600000000000000e+02,0,0
2016,2.8400000000000000e+02,0,0
2016,1.8000000000000000e+01,0,0
2016,3.5600000000000000e+02,0,0
2016,4.0100000000000000e+02,0,0
2016,7.3300000000000000e+02,0,0
2016,2.4300000000000000e+02,0,0
2016,3.8000000000000000e+02,0,0
2016,7.1600000000000000e+02,0,0
2016,5.3400000000000000e+02,0,0
2016,1.8500000000000000e+02,0,0
2016,2.5800000000000000e+02,0,0
2016,5.0500000000000000e+02,0,0
2016,2.6800000000000000e+02,0,0
2016,6.0200000000000000e+02,0,0
2016,2.5400000000000000e+02,0,0
2016,7.0500000000000000e+02,0,0
2016,1.3300000000000000e+02,0,0
2016,3.3000000000000000e+01,0,0
2016,1.4300000000000000e+02,0,0
2016,3.6000000000000000e+01,0,0
2016,7.5600000000000000e+02,0,0
2016,6.6200000000000000e+02,66,2375
2016,1.9200000000000000e+02,0,0
2016,3.8200000000000000e+02,0,0
2016,3.2200000000000000e+02,0,0
2016,4.7800000000000000e+02,0,0
2016,3.5200000000000000e+02,0,0
2016,6.2800000000000000e+02,0,0
2016,2.9100000000000000e+02,0,0
2016,4.9500000000000000e+02,0,0
2016,8.4500000000000000e+02,313,3776
2016,4.9800000000000000e+02,0,0
2016,3.1400000000000000e+02,0,0
2016,7.2000000000000000e+02,0,0
2016,7.2100000000000000e+02,0,0
2016,4.8500000000000000e+02,0,0
2016,2.7300000000000000e+02,0,0
2016,8.4600000000000000e+02,0,0
2016,8.4700000000000000e+02,0,0
2016,8.4800000000000000e+02,4,72
2016,9.1600000000000000e+02,0,0
2016,9.3000000000000000e+02,0,0
2016,9.5400000000000000e+02,0,0
2016,9.4300000000000000e+02,151,460
2016,9.4900000000000000e+02,290,2733
2016,9.8000000000000000e+02,0,0
2016,9.8100000000000000e+02,0,0
2016,1.0240000000000000e+03,0,0
2016,1.0170000000000000e+03,64,589
2016,1.0000000000000000e+03,0,0
2016,1.0180000000000000e+03,0,0
2016,1.0010000000000000e+03,0,0
2016,1.0070000000000000e+03,0,0
2016,1.0080000000000000e+03,0,0
2016,1.0090000000000000e+03,404,4600
2016,1.0100000000000000e+03,0,0
2016,1.0110000000000000e+03,0,0
2016,1.0120000000000000e+03,0,0
2016,1.0130000000000000e+03,0,0
2016,1.0410000000000000e+03,0,0
2016,1.0730000000000000e+03,546,761
2016,1.0870000000000000e+03,1,19
2016,1.1090000000000000e+03,0,0
2016,1.1100000000000000e+03,0,0
2016,1.1120000000000000e+03,0,0
2016,7.8900000000000000e+02,0,0
2016,3.2600000000000000e+02,0,0
2016,4.4200000000000000e+02,0,0
2016,2.9400000000000000e+02,0,0
2016,3.7800000000000000e+02,0,0
2016,4.0200000000000000e+02,0,0
2016,2.9000000000000000e+01,0,0
2016,4.5000000000000000e+02,0,0
2016,6.5600000000000000e+02,0,0
2016,3.3300000000000000e+02,0,0
2016,6.6800000000000000e+02,0,0
2016,6.8400000000000000e+02,0,0
2016,4.2200000000000000e+02,0,0
2016,7.6300000000000000e+02,734,6472
2016,7.4100000000000000e+02,0,0
2016,5.5300000000000000e+02,0,0
2016,3.5700000000000000e+02,0,0
2016,8.9900000000000000e+02,0,0
2016,9.0000000000000000e+02,0,0
2016,9.3200000000000000e+02,0,0
2016,9.5000000000000000e+02,0,0
2016,9.6600000000000000e+02,0,0
2016,9.6700000000000000e+02,1270,3932
2016,9.8200000000000000e+02,0,0
2016,1.0140000000000000e+03,0,0
2016,1.0800000000000000e+03,0,0
2016,1.0740000000000000e+03,0,0
2016,1.0840000000000000e+03,0,0
2016,1.1130000000000000e+03,0,0
2016,7.2200000000000000e+02,262,7664
2016,6.6000000000000000e+02,232,1681
2016,7.5000000000000000e+01,63,1758
2016,2.4900000000000000e+02,0,0
2016,2.7500000000000000e+02,0,0
2016,2.2700000000000000e+02,0,0
2016,1.5000000000000000e+02,0,0
2016,4.7000000000000000e+01,0,0
2016,1.7200000000000000e+02,0,0
2016,5.8100000000000000e+02,0,0
2016,1.2000000000000000e+02,0,0
2016,4.4500000000000000e+02,0,0
2016,4.7100000000000000e+02,0,0
2016,5.3000000000000000e+01,0,0
2016,1.9900000000000000e+02,0,0
2016,5.7500000000000000e+02,0,0
2016,5.2800000000000000e+02,0,0
2016,6.3100000000000000e+02,0,0
2016,6.9900000000000000e+02,0,0
2016,8.2300000000000000e+02,0,0
2016,8.4900000000000000e+02,0,0
2016,8.6900000000000000e+02,0,0
2016,9.5500000000000000e+02,0,0
2016,9.8300000000000000e+02,0,0
2016,1.0020000000000000e+03,0,0
2016,1.0150000000000000e+03,0,0
2016,5.1000000000000000e+01,0,0
2016,4.4100000000000000e+02,0,0
2016,3.2700000000000000e+02,0,0
2016,6.9000000000000000e+02,0,0
2016,2.6200000000000000e+02,0,0
2016,4.0300000000000000e+02,0,0
2016,3.1200000000000000e+02,0,0
2016,5.8900000000000000e+02,293,0
2016,6.6500000000000000e+02,551,5760
2016,3.3400000000000000e+02,0,0
2016,1.0750000000000000e+03,1700,19040
2016,7.5100000000000000e+02,1074,14636
2016,1.8600000000000000e+02,0,0
2016,6.4600000000000000e+02,106,785
2016,5.3600000000000000e+02,0,0
2016,2.4200000000000000e+02,0,0
2016,4.9000000000000000e+02,0,0
2016,5.0000000000000000e+02,0,0
2016,2.0600000000000000e+02,0,0
2016,5.8000000000000000e+01,0,0
2016,5.7200000000000000e+02,384,22528
2016,1.8000000000000000e+02,0,0
2016,5.4900000000000000e+02,0,0
2016,5.8200000000000000e+02,0,0
2016,7.4300000000000000e+02,416,7178
2016,7.9500000000000000e+02,0,0
2016,2.6900000000000000e+02,3,12
2016,6.3400000000000000e+02,0,0
2016,1.0000000000000000e+00,0,0
2016,7.1700000000000000e+02,0,0
2016,3.7300000000000000e+02,0,0
2016,5.3500000000000000e+02,0,0
2016,8.2400000000000000e+02,0,0
2016,8.8800000000000000e+02,0,0
2016,9.0200000000000000e+02,0,0
2016,9.6800000000000000e+02,0,0
2016,3.4600000000000000e+02,0,0
2016,2.7000000000000000e+01,0,0
2016,1.6500000000000000e+02,0,0
2016,9.5600000000000000e+02,141,1349
2016,4.1300000000000000e+02,0,0
2016,1.4900000000000000e+02,0,0
2016,6.1200000000000000e+02,0,0
2016,5.5900000000000000e+02,0,0
2016,7.0000000000000000e+00,0,0
2016,2.8300000000000000e+02,0,0
2016,3.7000000000000000e+01,0,0
2016,1.5300000000000000e+02,0,0
2016,5.4700000000000000e+02,172,2018
2016,3.9700000000000000e+02,0,0
2016,5.5600000000000000e+02,0,0
2016,4.2000000000000000e+01,0,0
2016,3.1000000000000000e+01,0,0
2016,7.4000000000000000e+02,183,2431
2016,2.1700000000000000e+02,0,0
2016,8.6300000000000000e+02,0,0
2016,8.8900000000000000e+02,781,12304
2016,9.8400000000000000e+02,0,0
2016,1.1060000000000000e+03,0,0
2016,3.4000000000000000e+01,0,0
2016,7.9100000000000000e+02,0,0
2016,1.8100000000000000e+02,0,0
2016,4.3000000000000000e+02,0,0
2016,7.1500000000000000e+02,1286,11401
2016,5.2100000000000000e+02,0,0
2016,5.2400000000000000e+02,0,0
2016,4.3200000000000000e+02,0,0
2016,1.9000000000000000e+01,0,0
2016,2.5000000000000000e+01,0,0
2016,2.6000000000000000e+01,0,0
2016,8.9000000000000000e+02,469,3967
2016,9.0400000000000000e+02,231,1739
2016,9.5700000000000000e+02,698,7598
2016,9.3900000000000000e+02,0,0
2016,2.3600000000000000e+02,0,0
2016,7.3500000000000000e+02,170,2597
2016,1.4600000000000000e+02,0,0
2016,3.6300000000000000e+02,0,0
2016,1.8700000000000000e+02,0,0
2016,2.6500000000000000e+02,0,0
2016,2.9500000000000000e+02,0,0
2016,4.9600000000000000e+02,0,0
2016,7.7000000000000000e+01,0,0
2016,3.9100000000000000e+02,0,0
2016,2.4000000000000000e+02,0,0
2016,4.4800000000000000e+02,0,0
2016,1.5100000000000000e+02,0,0
2016,4.2500000000000000e+02,0,0
2016,3.0000000000000000e+02,0,0
2016,3.3900000000000000e+02,0,0
2016,8.7400000000000000e+02,0,0
2016,9.0500000000000000e+02,195,2177
2016,7.3600000000000000e+02,1475,20952
2016,4.5900000000000000e+02,0,0
2016,3.2000000000000000e+02,0,0
2016,4.5000000000000000e+01,0,0
2016,6.1800000000000000e+02,233,20339
2016,4.6300000000000000e+02,0,0
2016,8.9100000000000000e+02,0,0
2016,9.5800000000000000e+02,0,0
2016,2.4400000000000000e+02,0,0
2016,2.8000000000000000e+01,0,0
