año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2016,9.7400000000000000e+02,0,0,0,0,0,0
2016,9.7500000000000000e+02,0,0,0,0,58,5822
2016,9.6000000000000000e+02,0,0,0,0,176,5727
2016,1.0280000000000000e+03,0,0,0,0,0,0
2016,9.7600000000000000e+02,0,0,38,1335,200,6960
2016,9.7700000000000000e+02,0,0,0,0,0,0
2016,1.0200000000000000e+03,0,0,115,2186,0,0
2016,9.9400000000000000e+02,4317,10810,0,0,0,0
2016,9.9500000000000000e+02,0,0,0,0,61,5992
2016,1.0600000000000000e+03,0,0,165,11247,0,0
2016,1.0050000000000000e+03,0,0,0,0,0,0
2016,1.0610000000000000e+03,0,0,0,0,0,0
2016,1.0060000000000000e+03,0,0,79,4265,0,0
2016,1.0880000000000000e+03,0,0,0,0,0,0
2016,1.0890000000000000e+03,62,507,0,0,0,0
2016,1.0760000000000000e+03,0,0,0,0,0,0
2016,1.0780000000000000e+03,0,0,0,0,0,0
2016,1.0330000000000000e+03,8123,35672,0,0,0,0
2016,1.0370000000000000e+03,0,0,192,7456,0,0
2016,1.0390000000000000e+03,0,0,554,33427,0,0
2016,1.0670000000000000e+03,0,0,0,0,81,8965
2016,1.0650000000000000e+03,0,0,0,0,0,0
2016,1.0660000000000000e+03,241,2098,0,0,0,0
2016,1.1000000000000000e+03,0,0,0,0,211,5913
2016,1.1050000000000000e+03,0,0,0,0,0,0
2016,1.1070000000000000e+03,0,0,0,0,0,0
2016,1.1110000000000000e+03,0,0,121,5001,0,0
2016,1.1210000000000000e+03,0,0,0,0,30,5100
2016,2.0700000000000000e+02,24,155,0,0,0,0
2016,4.3100000000000000e+02,107,107,0,0,0,0
2016,3.8700000000000000e+02,687,3057,0,0,0,0
2016,1.7900000000000000e+02,0,0,0,0,0,0
2016,6.0600000000000000e+02,2329,5029,0,0,0,0
2016,9.2500000000000000e+02,3514,31623,363,14145,0,0
2016,5.4100000000000000e+02,172,1095,0,0,0,0
2016,7.9700000000000000e+02,594,1652,0,0,0,0
2016,6.2700000000000000e+02,2331,4234,0,0,0,0
2016,1.7300000000000000e+02,0,0,4,970,0,0
2016,6.3600000000000000e+02,1532,13792,0,0,178,4095
2016,2.0500000000000000e+02,0,0,0,0,0,0
2016,8.1400000000000000e+02,0,0,0,0,0,0
2016,8.8100000000000000e+02,0,0,0,0,0,0
2016,7.7100000000000000e+02,5814,25052,0,0,0,0
2016,5.3300000000000000e+02,512,1261,0,0,0,0
2016,4.4700000000000000e+02,105,700,0,0,0,0
2016,8.1500000000000000e+02,0,0,0,0,0,0
2016,8.0100000000000000e+02,11299,17769,0,0,0,0
2016,8.0000000000000000e+02,0,0,0,0,0,0
2016,3.8900000000000000e+02,,,0,0,0,0
2016,6.9500000000000000e+02,2990,14838,0,0,0,0
2016,8.1600000000000000e+02,254,1573,0,0,0,0
2016,8.3300000000000000e+02,3453,4667,0,0,0,0
2016,8.7000000000000000e+02,280,1711,0,0,0,0
2016,9.2700000000000000e+02,48,131,0,0,0,0
2016,9.6100000000000000e+02,6554,16083,0,0,0,0
2016,9.6200000000000000e+02,0,0,0,0,0,0
2016,1.0790000000000000e+03,0,0,0,0,0,0
2016,1.1010000000000000e+03,394,736,0,0,0,0
2016,6.6600000000000000e+02,879,9004,0,0,0,0
2016,3.9200000000000000e+02,0,0,0,0,0,0
2016,7.9000000000000000e+02,1324,16253,458,23855,0,0
2016,6.5000000000000000e+02,3815,9047,0,0,0,0
2016,8.7600000000000000e+02,1519,4458,0,0,0,0
2016,9.4400000000000000e+02,0,0,0,0,0,0
2016,9.5200000000000000e+02,372,2024,0,0,0,0
2016,5.4000000000000000e+01,0,0,27,9855,0,0
2016,3.6700000000000000e+02,535,754,0,0,0,0
2016,5.3800000000000000e+02,1507,11111,67,2820,0,0
2016,5.5700000000000000e+02,3530,4657,0,0,0,0
2016,6.5300000000000000e+02,453,1893,0,0,0,0
2016,6.4700000000000000e+02,318,589,0,0,0,0
2016,9.7800000000000000e+02,2813,4893,318,4886,0,0
2016,9.9600000000000000e+02,380,2755,0,0,0,0
2016,7.2900000000000000e+02,3450,31053,372,35142,0,0
2016,1.8200000000000000e+02,0,0,0,0,0,0
2016,6.3300000000000000e+02,0,0,0,0,0,0
2016,6.8500000000000000e+02,457,1950,92,15985,0,0
2016,6.8300000000000000e+02,200,1051,0,0,0,0
2016,9.4500000000000000e+02,0,0,0,0,0,0
2016,9.5300000000000000e+02,0,0,0,0,0,0
2016,1.0220000000000000e+03,0,0,0,0,0,0
2016,1.0490000000000000e+03,0,0,0,0,0,0
2016,7.9400000000000000e+02,4000,36004,122,3312,0,0
2016,4.1500000000000000e+02,831,8130,0,0,0,0
2016,5.9200000000000000e+02,0,0,0,0,0,0
2016,4.9700000000000000e+02,0,0,0,0,0,0
2016,4.5800000000000000e+02,0,0,0,0,0,0
2016,7.2600000000000000e+02,498,10290,259,11330,0,0
2016,2.7200000000000000e+02,0,0,0,0,0,0
2016,8.0500000000000000e+02,1858,21146,162,14927,553,2273
2016,5.0000000000000000e+00,91,132,0,0,0,0
2016,2.3400000000000000e+02,41,169,0,0,0,0
2016,6.4000000000000000e+01,0,0,0,0,0,0
2016,8.4200000000000000e+02,0,0,0,0,0,0
2016,8.4300000000000000e+02,666,2256,0,0,0,0
2016,8.0300000000000000e+02,2219,8347,250,1336,0,0
2016,2.1100000000000000e+02,0,0,0,0,0,0
2016,7.7300000000000000e+02,3226,6113,0,0,0,0
2016,4.2400000000000000e+02,0,0,0,0,0,0
2016,2.9800000000000000e+02,103,1208,0,0,0,0
2016,5.9400000000000000e+02,0,0,0,0,0,0
2016,2.3700000000000000e+02,0,0,0,0,57,6120
2016,1.6000000000000000e+01,0,0,0,0,0,0
2016,7.6800000000000000e+02,436,1498,0,0,65,5816
2016,6.1700000000000000e+02,1766,7258,0,0,0,0
2016,2.9700000000000000e+02,0,0,0,0,0,0
2016,1.0500000000000000e+02,0,0,0,0,54,2292
2016,5.4400000000000000e+02,0,0,0,0,30,3657
2016,8.0400000000000000e+02,1126,5965,0,0,0,0
2016,1.0400000000000000e+02,0,0,163,2692,0,0
2016,2.0000000000000000e+01,0,0,0,0,0,0
2016,5.5000000000000000e+02,122,889,0,0,0,0
2016,1.1200000000000000e+02,0,0,0,0,75,6255
2016,8.1800000000000000e+02,0,0,0,0,19,4445
2016,8.8200000000000000e+02,0,0,0,0,49,2908
2016,9.1400000000000000e+02,0,0,0,0,96,8431
2016,9.2800000000000000e+02,2920,28861,0,0,0,0
2016,9.6400000000000000e+02,17084,17957,0,0,0,0
2016,1.0260000000000000e+03,0,0,0,0,39,2818
2016,1.0680000000000000e+03,0,0,0,0,432,9559
2016,1.1080000000000000e+03,175,759,0,0,0,0
2016,4.0400000000000000e+02,0,0,0,0,0,0
2016,2.7000000000000000e+02,180,1372,0,0,0,0
2016,6.7600000000000000e+02,1823,2483,0,0,0,0
2016,7.0900000000000000e+02,2280,4968,74,4603,0,0
2016,7.5400000000000000e+02,32412,72902,353,17792,0,0
2016,9.9700000000000000e+02,849,1464,0,0,0,0
2016,1.0690000000000000e+03,160,896,0,0,0,0
2016,1.1180000000000000e+03,136,784,42,2148,0,0
2016,7.3400000000000000e+02,1554,10569,74,284,742,2676
2016,2.9900000000000000e+02,0,0,0,0,0,0
2016,6.4500000000000000e+02,0,0,0,0,0,0
2016,1.7000000000000000e+01,0,0,0,0,0,0
2016,1.0460000000000000e+03,0,0,0,0,0,0
2016,4.2000000000000000e+02,0,0,0,0,0,0
2016,8.0200000000000000e+02,0,0,0,0,0,0
2016,2.6600000000000000e+02,4281,4281,0,0,0,0
2016,1.3700000000000000e+02,0,0,0,0,0,0
2016,7.6900000000000000e+02,784,9099,0,0,0,0
2016,7.7600000000000000e+02,3130,4399,0,0,0,0
2016,6.4000000000000000e+02,1160,1714,0,0,0,0
2016,3.1500000000000000e+02,0,0,26,5033,314,15700
2016,4.0000000000000000e+01,0,0,0,0,0,0
2016,5.0800000000000000e+02,287,287,0,0,0,0
2016,4.6000000000000000e+01,0,0,0,0,0,0
2016,5.9000000000000000e+02,3062,4425,0,0,0,0
2016,7.7700000000000000e+02,542,911,0,0,0,0
2016,8.9700000000000000e+02,10025,39385,0,0,0,0
2016,9.6500000000000000e+02,0,0,0,0,0,0
2016,4.6100000000000000e+02,0,0,0,0,0,0
2016,3.7600000000000000e+02,0,0,0,0,0,0
2016,6.2100000000000000e+02,515,1807,0,0,0,0
2016,7.9300000000000000e+02,4533,18113,15,2190,0,0
2016,1.1020000000000000e+03,0,0,0,0,0,0
2016,7.1200000000000000e+02,1184,7297,0,0,0,0
2016,3.2000000000000000e+01,0,0,0,0,0,0
2016,3.6100000000000000e+02,0,0,0,0,183,2424
2016,4.8600000000000000e+02,0,0,0,0,0,0
2016,5.9500000000000000e+02,410,3714,0,0,0,0
2016,4.3300000000000000e+02,0,0,0,0,0,0
2016,1.0580000000000000e+03,0,0,0,0,0,0
2016,2.6100000000000000e+02,0,0,0,0,0,0
2016,7.3000000000000000e+02,235,2115,132,3925,0,0
2016,5.7700000000000000e+02,0,1730,0,0,0,0
2016,7.8800000000000000e+02,3663,19126,0,0,0,0
2016,8.6500000000000000e+02,0,0,0,0,0,0
2016,9.7900000000000000e+02,0,0,0,0,0,0
2016,9.9800000000000000e+02,0,0,0,0,0,0
2016,1.0720000000000000e+03,0,0,0,0,0,0
2016,2.2100000000000000e+02,0,0,0,0,0,0
2016,5.0600000000000000e+02,0,0,0,0,0,0
2016,7.2700000000000000e+02,1280,8829,0,0,0,0
2016,3.5500000000000000e+02,0,0,0,0,0,0
2016,4.8700000000000000e+02,0,0,0,0,0,0
2016,9.3800000000000000e+02,1537,14041,65,2870,0,0
2016,8.8600000000000000e+02,0,0,0,0,0,0
2016,8.3500000000000000e+02,0,0,0,0,0,0
2016,9.9900000000000000e+02,0,0,0,0,0,0
2016,7.9800000000000000e+02,7882,41716,0,0,0,0
2016,5.0400000000000000e+02,223,781,730,1164,215,4691
2016,2.4700000000000000e+02,85,387,0,0,0,0
2016,2.1600000000000000e+02,228,433,0,0,0,0
2016,6.5400000000000000e+02,0,0,0,0,0,0
2016,6.5000000000000000e+01,0,0,20,5564,0,0
2016,4.7200000000000000e+02,378,1450,0,0,26,2199
2016,4.2700000000000000e+02,0,0,0,0,15,2318
2016,4.9100000000000000e+02,126,389,0,0,0,0
2016,5.5100000000000000e+02,466,885,0,0,0,0
2016,1.0600000000000000e+02,0,0,0,0,0,0
2016,8.1900000000000000e+02,0,0,0,0,0,0
2016,8.3600000000000000e+02,0,0,0,0,0,0
2016,9.1500000000000000e+02,0,0,0,0,89,5764
2016,9.4200000000000000e+02,0,0,0,0,0,0
2016,7.4800000000000000e+02,11984,16745,37,14239,0,0
2016,1.9800000000000000e+02,0,0,0,0,0,0
2016,8.7100000000000000e+02,3674,4774,0,0,0,0
2016,9.4800000000000000e+02,0,0,0,0,0,0
2016,1.0510000000000000e+03,0,0,0,0,0,0
2016,1.0830000000000000e+03,0,0,0,0,0,0
2016,1.0960000000000000e+03,0,0,0,0,0,0
2016,6.7900000000000000e+02,1918,5140,303,2818,1227,2965
2016,1.7600000000000000e+02,0,0,0,0,0,0
2016,5.3700000000000000e+02,1137,1137,0,0,0,0
2016,6.0800000000000000e+02,903,5832,0,0,0,0
2016,5.9600000000000000e+02,996,5451,0,0,0,0
2016,7.4900000000000000e+02,8565,37917,3538,3538,0,0
2016,7.5800000000000000e+02,9878,46645,1553,18214,0,0
2016,1.1040000000000000e+03,18175,49614,234,9048,141,1851
2016,4.3600000000000000e+02,171,233,0,0,0,0
2016,5.6700000000000000e+02,0,0,250,5801,0,0
2016,6.7700000000000000e+02,5440,30235,66,12960,0,0
2016,6.7000000000000000e+02,3811,15485,1556,15496,0,0
2016,5.8800000000000000e+02,1692,5490,0,0,208,4767
