año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,1.0890000000000000e+03,39507,321740,0,321740,0,361247
2017,1.0760000000000000e+03,0,1000,0,1000,0,1000
2017,1.0780000000000000e+03,0,177267,0,177267,0,177267
2017,1.0330000000000000e+03,251013,1287934,0,1287934,0,1538947
2017,1.0370000000000000e+03,0,0,0,0,1,1
2017,1.0390000000000000e+03,0,108201,0,108201,0,108201
2017,1.0670000000000000e+03,35645,205031,0,205031,0,240676
2017,1.0650000000000000e+03,2957,69870,0,69870,0,72827
2017,1.0660000000000000e+03,12612,609095,0,609095,0,621707
2017,1.1000000000000000e+03,0,0,0,0,1,1
2017,1.1050000000000000e+03,0,7561,0,7561,0,7561
2017,1.1070000000000000e+03,722,20949,0,20949,0,21671
2017,1.1110000000000000e+03,0,224442,0,224442,0,224442
2017,1.1210000000000000e+03,0,0,0,0,41215,41215
2017,1.1190000000000000e+03,0,81785,0,81785,0,81785
2017,2.0700000000000000e+02,,1004347,,1004347,0,1004347
2017,4.3100000000000000e+02,0,120438,0,120438,0,120438
2017,3.8700000000000000e+02,0,1099734,0,1099734,0,1099734
2017,1.7900000000000000e+02,0,3359,0,3359,0,3359
2017,6.0600000000000000e+02,0,525999,0,525999,0,525999
2017,9.2500000000000000e+02,58789,45964,0,45964,0,104753
2017,5.4100000000000000e+02,0,146667,0,146667,0,146667
2017,7.9700000000000000e+02,0,148293,0,148293,0,148293
2017,6.2700000000000000e+02,,436890,0,436890,0,436890
2017,1.7300000000000000e+02,0,3039,0,3039,0,3039
2017,6.3600000000000000e+02,0,8029677,0,8029677,0,8029677
2017,2.0500000000000000e+02,4677,1110821,0,1110821,0,1115498
2017,8.1400000000000000e+02,0,82746,0,82746,0,82746
2017,8.8100000000000000e+02,2268,86319,10991,75328,0,88587
2017,7.7100000000000000e+02,0,129309,129309,0,0,129309
2017,5.3300000000000000e+02,0,251644,0,251644,0,251644
2017,4.4700000000000000e+02,0,183450,0,183450,0,183450
2017,8.1500000000000000e+02,0,13269,,13269,0,13269
2017,8.0100000000000000e+02,0,0,0,0,0,0
2017,8.0000000000000000e+02,0,0,0,0,0,0
2017,3.8900000000000000e+02,0,306779,0,306779,0,306779
