año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2016,7.5600000000000000e+02,0,3119156,,3119156,0,3119156
2016,6.6200000000000000e+02,19276,1040180,0,1040180,0,1059456
2016,1.9200000000000000e+02,0,16108,0,16108,0,16108
2016,3.8200000000000000e+02,3256,370508,0,370508,0,373764
2016,3.2200000000000000e+02,907873,3350251,630189,2720062,0,4258124
2016,4.7800000000000000e+02,0,1398452,0,1398452,0,1398452
2016,3.5200000000000000e+02,0,33386,0,33386,0,33386
2016,6.2800000000000000e+02,0,722169,0,722169,0,722169
2016,2.9100000000000000e+02,0,206228,0,206228,0,206228
2016,4.9500000000000000e+02,,743176,65950,677226,0,743176
2016,8.4500000000000000e+02,17900,251948,0,251948,0,269848
2016,4.9800000000000000e+02,21284,482204,0,482204,0,503488
2016,3.1400000000000000e+02,0,51151,0,51151,0,51151
2016,7.2000000000000000e+02,0,475103,0,475103,0,475103
2016,7.2100000000000000e+02,0,1771554,0,1771554,0,1771554
2016,4.8500000000000000e+02,0,0,0,0,4583,4583
