año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2016,7.2100000000000000e+02,101359,12607,534,39,114539
2016,4.8500000000000000e+02,0,0,0,0,0
2016,2.7300000000000000e+02,55599,5967,136,19,61721
2016,8.4600000000000000e+02,93542,10581,48,57,104228
2016,8.4700000000000000e+02,40976,702,76,0,41754
2016,8.4800000000000000e+02,57654,5314,105,0,63073
2016,9.1600000000000000e+02,1167,1122,1,0,2290
2016,9.3000000000000000e+02,79857,3301,117,5,83280
2016,9.5400000000000000e+02,107376,11279,644,27,119326
2016,9.4300000000000000e+02,58656,2918,73,1,61648
2016,9.4900000000000000e+02,199779,28321,1606,224,229930
2016,9.8000000000000000e+02,123866,4151,652,4,128673
2016,9.8100000000000000e+02,11155,212,0,0,11367
2016,1.0240000000000000e+03,89117,5752,80,1,94950
2016,1.0170000000000000e+03,0,0,0,0,0
2016,1.0000000000000000e+03,82876,5911,526,4,89317
2016,1.0180000000000000e+03,99565,7066,394,34,107059
2016,1.0010000000000000e+03,41351,2176,64,1,43592
2016,1.0070000000000000e+03,109286,10099,316,106,119807
2016,1.0080000000000000e+03,76048,8108,244,25,84425
2016,1.0090000000000000e+03,116284,9619,1918,30,127851
2016,1.0100000000000000e+03,81605,6050,121,21,87797
2016,1.0110000000000000e+03,55113,3354,155,30,58652
2016,1.0120000000000000e+03,93172,6582,43,47,99844
2016,1.0130000000000000e+03,141576,17846,668,96,160186
2016,1.0410000000000000e+03,0,0,0,0,0
2016,1.0730000000000000e+03,76146,26480,0,24,102650
2016,1.0870000000000000e+03,121277,14367,319,52,136015
2016,1.1090000000000000e+03,85271,6727,401,25,92424
2016,1.1100000000000000e+03,67451,5245,5,0,72701
2016,1.1120000000000000e+03,15394,229,92,0,15715
2016,7.8900000000000000e+02,0,0,0,0,0
2016,3.2600000000000000e+02,0,0,0,0,0
2016,4.4200000000000000e+02,50977,3386,2694,2,57059
2016,2.9400000000000000e+02,47081,2987,99,10,50177
2016,3.7800000000000000e+02,14106,755,30,0,14891
2016,4.0200000000000000e+02,11566,724,0,0,12290
2016,2.9000000000000000e+01,0,0,0,0,0
2016,4.5000000000000000e+02,953,5,0,0,958
2016,6.5600000000000000e+02,60876,4524,386,71,65857
2016,3.3300000000000000e+02,106478,2676,87,0,109241
2016,6.6800000000000000e+02,38527,3405,324,56,42312
2016,6.8400000000000000e+02,75569,5212,603,122,81506
2016,4.2200000000000000e+02,0,65,0,0,65
2016,7.6300000000000000e+02,317112,20928,1410,205,339655
2016,7.4100000000000000e+02,151151,13426,1388,281,166246
2016,5.5300000000000000e+02,100628,12941,592,204,114365
2016,3.5700000000000000e+02,263,23,0,0,286
2016,8.9900000000000000e+02,0,0,0,0,0
2016,9.0000000000000000e+02,0,0,0,0,0
2016,9.3200000000000000e+02,0,0,0,0,0
2016,9.5000000000000000e+02,0,0,0,0,0
2016,9.6600000000000000e+02,22390,2140,14,0,24544
2016,9.6700000000000000e+02,0,0,0,0,0
2016,9.8200000000000000e+02,65982,4858,102,2,70944
2016,1.0140000000000000e+03,58307,2,1644,1,59954
2016,1.0800000000000000e+03,108096,4814,8,0,112918
2016,1.0740000000000000e+03,12609,10,6,0,12625
2016,1.0840000000000000e+03,19388,23,32,0,19443
2016,1.1130000000000000e+03,171,7,0,0,178
2016,7.2200000000000000e+02,178226,27044,1722,95,207087
2016,6.6000000000000000e+02,89255,8613,830,63,98761
2016,7.5000000000000000e+01,266,326,0,0,592
2016,2.4900000000000000e+02,34704,2059,0,0,36763
2016,2.7500000000000000e+02,0,0,0,0,0
2016,2.2700000000000000e+02,45404,3636,64,5,49109
2016,1.5000000000000000e+02,3016,75,0,0,3091
2016,4.7000000000000000e+01,0,0,0,0,0
2016,1.7200000000000000e+02,4338,0,0,0,4338
2016,5.8100000000000000e+02,42572,3815,397,43,46827
