año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2016,8.0000000000000000e+02,46,0,0,2,0,1,0,53,9,62,1,31,0,0,1,0,1,0,32,7,39,1,12,0,0,1,0,0,0,24,6,30,0,9,0,0,1,0,0,0,8,6,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,8,23,0,2,0,2,12,0,0,0,6,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
2016,3.8900000000000000e+02,85,3,0,3,0,0,0,124,10,134,0,69,3,0,2,0,0,0,116,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,32,41,1,1,3,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.9500000000000000e+02,428,33,12,10,5,1,0,380,90,470,0,317,30,10,7,5,1,0,346,82,428,0,35,2,0,1,0,0,0,24,21,45,0,33,1,0,0,0,0,0,24,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,104,108,133,28,5,69,93,71,0,0,6,5,8,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0
2016,8.1600000000000000e+02,82,1,0,2,1,0,0,107,21,128,0,66,1,0,2,0,0,0,103,17,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,37,35,0,0,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.3300000000000000e+02,97,1,0,3,0,0,0,126,25,151,0,79,1,0,2,0,0,0,115,12,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,38,45,1,0,2,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.7000000000000000e+02,28,0,0,6,0,0,1,27,4,31,0,26,0,0,4,0,0,0,22,3,25,0,13,2,0,0,0,0,0,6,1,7,0,13,2,0,0,0,0,0,6,0,6,0,0,4,0,0,1,2,0,0,1,1,5,0,4,0,0,1,2,0,0,0,0,5,2,0,2,18,8,0,0,2,10,2,0,0,0,4,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2016,9.2700000000000000e+02,11,3,0,2,0,0,0,5,4,9,1,10,3,0,1,0,0,0,5,1,6,1,27,1,0,12,0,0,0,26,5,31,9,21,1,0,10,0,0,0,22,4,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,23,0,0,0,11,19,0,1,0,5,27,5,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0
2016,9.6100000000000000e+02,550,31,0,16,1,0,0,474,150,624,0,403,26,0,12,1,0,0,445,120,565,0,159,1,0,4,0,0,0,40,25,65,0,141,1,0,3,0,0,0,37,21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,208,182,198,8,5,125,164,104,1,0,10,17,20,0,0,8,17,15,0,0,0,0,0,0,0,0,0,0
2016,9.6200000000000000e+02,4,0,2,2,0,0,0,2,1,3,0,4,0,2,2,0,0,0,2,1,3,0,8,0,6,2,0,0,0,2,1,3,0,8,0,6,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,,2,3,0,3,,2,2,0,2,2,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0
2016,1.0790000000000000e+03,9,0,0,0,0,0,0,0,2,2,0,7,0,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,0,1,1,2,0,9,0,0,0,0,0,0,1,1,2,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,14,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
