año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,4.5400000000000000e+02,231,2,1,4,0,228,2,1,4,0,3,0,20,0,0,0,4,1
2016,3.1800000000000000e+02,356,0,0,0,0,350,0,0,0,0,0,0,0,20,25,0,0,0
2016,6.0000000000000000e+02,181,2,5,8,0,119,2,5,8,0,3,0,20,0,0,0,16,0
2016,5.4500000000000000e+02,450,19,3,14,0,326,14,3,14,0,5,0,53,20,33,0,0,0
2016,1.0000000000000000e+02,78,0,0,0,0,75,0,0,0,0,0,0,0,0,32,0,0,0
2016,7.0200000000000000e+02,384,9,3,15,2,384,9,3,15,2,5,4,22,35,0,0,21,4
2016,7.7800000000000000e+02,216,3,5,10,0,197,3,5,8,0,4,0,60,22,0,0,22,3
2016,3.4100000000000000e+02,65,1,1,2,0,65,0,0,2,0,2,0,0,0,0,0,0,0
2016,9.9000000000000000e+01,103,0,0,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0
2016,7.6700000000000000e+02,117,0,0,5,0,117,0,0,5,0,6,0,8,0,0,0,0,0
2016,3.5900000000000000e+02,110,0,0,2,0,110,0,0,2,0,2,0,0,0,30,4,8,2
2016,9.8000000000000000e+01,104,0,0,0,0,104,0,0,0,0,0,0,0,0,25,0,0,0
2016,1.3200000000000000e+02,125,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.7000000000000000e+01,122,0,0,0,0,120,0,0,0,0,0,0,0,0,30,0,0,0
2016,1.0300000000000000e+02,42,0,0,0,0,41,0,0,0,0,0,0,0,0,20,0,0,0
2016,1.1000000000000000e+02,60,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.4000000000000000e+01,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.1000000000000000e+01,60,0,0,0,0,60,0,0,0,0,0,0,0,0,18,0,0,0
2016,6.6400000000000000e+02,366,4,2,12,0,336,4,2,12,0,8,0,55,25,0,17,0,0
