año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,6.0600000000000000e+02,22633,3922,443,15,27013
2017,9.2500000000000000e+02,114766,18576,320,56,133718
2017,5.4100000000000000e+02,13798,2185,535,24,16542
2017,7.9700000000000000e+02,16214,2944,313,30,19501
2017,6.2700000000000000e+02,32527,8652,279,37,41495
2017,1.7300000000000000e+02,0,0,0,0,0
2017,6.3600000000000000e+02,65375,11445,1032,121,77973
2017,2.0500000000000000e+02,7170,385,186,0,7741
2017,8.1400000000000000e+02,485,142,2,0,629
2017,8.8100000000000000e+02,11545,518,229,1,12293
2017,7.7100000000000000e+02,140477,11084,1995,110,153666
2017,5.3300000000000000e+02,11841,763,0,0,12604
2017,4.4700000000000000e+02,6992,1702,64,2,8760
2017,8.1500000000000000e+02,547,13,41,0,601
2017,8.0100000000000000e+02,114640,12196,1335,175,128346
2017,8.0000000000000000e+02,5137,381,61,1,5580
2017,3.8900000000000000e+02,63059,4885,452,1,68397
2017,6.9500000000000000e+02,77369,9767,664,75,87875
2017,8.1600000000000000e+02,44918,3444,341,57,48760
2017,8.3300000000000000e+02,71981,3806,989,27,76803
2017,8.7000000000000000e+02,35947,1649,46,0,37642
2017,9.2700000000000000e+02,54212,878,58,24,55172
2017,9.6100000000000000e+02,157446,11236,1156,126,169964
2017,9.6200000000000000e+02,11908,372,14,2,12296
2017,1.0790000000000000e+03,30378,0,0,0,30378
2017,1.1010000000000000e+03,60982,2442,0,0,63424
2017,6.6600000000000000e+02,89442,12839,1009,71,103361
2017,3.9200000000000000e+02,0,0,0,0,0
2017,7.9000000000000000e+02,14183,1891,143,6,16223
2017,6.5000000000000000e+02,35420,4419,551,29,40419
2017,8.7600000000000000e+02,51052,9913,795,55,61815
2017,9.4400000000000000e+02,0,59,0,0,59
2017,9.5200000000000000e+02,55720,2106,91,2,57919
2017,5.4000000000000000e+01,0,0,0,0,0
2017,3.6700000000000000e+02,21370,639,188,0,22197
2017,5.3800000000000000e+02,51198,8714,301,94,60307
2017,5.5700000000000000e+02,26676,2882,201,17,29776
2017,6.5300000000000000e+02,43235,4212,406,79,47932
2017,6.4700000000000000e+02,30488,3458,520,62,34528
2017,9.7800000000000000e+02,80921,14208,31,108,95268
2017,9.9600000000000000e+02,32220,2814,385,42,35461
2017,7.2900000000000000e+02,186341,21320,289,260,208210
2017,1.8200000000000000e+02,34814,1079,175,11,36079
2017,6.3300000000000000e+02,49131,808,77,0,50016
2017,6.8500000000000000e+02,57444,8187,561,63,66255
2017,6.8300000000000000e+02,28900,3535,354,36,32825
2017,9.4500000000000000e+02,47973,2451,843,54,51321
2017,9.5300000000000000e+02,11838,14,0,0,11852
2017,1.0220000000000000e+03,49407,372,1981,28,51788
2017,1.0490000000000000e+03,23760,287,1711,28,25786
2017,7.9400000000000000e+02,146751,26747,598,414,174510
2017,4.1500000000000000e+02,57,11,0,0,68
2017,5.9200000000000000e+02,43049,1672,95,3,44819
2017,4.9700000000000000e+02,10240,846,10,0,11096
2017,4.5800000000000000e+02,75959,3991,85,4,80039
2017,7.2600000000000000e+02,52875,10684,1140,151,64850
2017,2.7200000000000000e+02,17487,1265,278,0,19030
2017,8.0500000000000000e+02,132697,21802,58,206,154763
2017,2.3400000000000000e+02,27321,925,181,1,28428
2017,6.4000000000000000e+01,0,0,0,0,0
2017,8.4200000000000000e+02,23717,2805,1607,21,28150
2017,8.4300000000000000e+02,13583,1961,599,40,16183
2017,8.0300000000000000e+02,46702,9986,117,44,56849
2017,2.1100000000000000e+02,5726,518,95,0,6339
2017,7.7300000000000000e+02,59041,11690,2224,116,73071
2017,4.2400000000000000e+02,21977,423,49,0,22449
2017,2.9800000000000000e+02,23382,2305,78,2,25767
2017,5.9400000000000000e+02,5846,311,40,1,6198
2017,2.3700000000000000e+02,16297,33,198,1,16529
2017,1.6000000000000000e+01,0,0,0,0,0
2017,7.6800000000000000e+02,11102,1200,369,11,12682
2017,6.1700000000000000e+02,70500,6712,545,51,77808
2017,2.9700000000000000e+02,7387,2350,75,0,9812
2017,1.0500000000000000e+02,0,0,0,0,0
2017,5.4400000000000000e+02,34474,2211,314,8,37007
2017,8.0400000000000000e+02,58787,4917,966,52,64722
2017,1.0400000000000000e+02,0,0,0,0,0
2017,2.0000000000000000e+01,0,0,0,0,0
2017,5.5000000000000000e+02,33760,2092,981,36,36869
2017,1.1200000000000000e+02,0,0,0,0,0
2017,8.1800000000000000e+02,0,0,0,0,0
2017,8.8200000000000000e+02,0,0,0,0,0
2017,9.1400000000000000e+02,0,0,0,0,0
2017,9.2800000000000000e+02,0,0,0,0,0
2017,9.6400000000000000e+02,43546,7449,801,22,51818
2017,1.0260000000000000e+03,0,0,0,0,0
2017,1.0680000000000000e+03,0,0,0,0,0
2017,1.1080000000000000e+03,24875,1403,476,7,26761
2017,4.0400000000000000e+02,668,1,6,0,675
2017,2.7000000000000000e+02,63696,2371,147,13,66227
2017,6.7600000000000000e+02,29517,2858,399,55,32829
2017,7.0900000000000000e+02,80547,5094,837,71,86549
2017,7.5400000000000000e+02,364440,29887,3182,612,398121
2017,9.9700000000000000e+02,57219,2536,2562,9,62326
2017,1.0690000000000000e+03,34763,748,2685,8,38204
2017,1.1180000000000000e+03,50408,1445,36,0,51889
2017,7.3400000000000000e+02,83517,12874,82,72,96545
2017,2.9900000000000000e+02,17270,352,9,1,17632
2017,6.4500000000000000e+02,4964,65,20,20,5069
2017,1.7000000000000000e+01,0,0,0,0,0
2017,1.0460000000000000e+03,0,0,0,0,0
2017,4.2000000000000000e+02,2059,106,0,0,2165
2017,8.0200000000000000e+02,0,0,0,0,0
2017,2.6600000000000000e+02,27665,2503,0,0,30168
