año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2017,8.8100000000000000e+02,0,0,0,0,0,0
2017,7.7100000000000000e+02,3545,17724,0,0,0,0
2017,5.3300000000000000e+02,29,55,0,0,0,0
2017,4.4700000000000000e+02,132,526,0,0,0,0
2017,8.1500000000000000e+02,0,0,0,0,0,0
2017,8.0100000000000000e+02,4316,21581,0,0,0,0
2017,8.0000000000000000e+02,0,0,0,0,0,0
2017,3.8900000000000000e+02,71,86,0,0,0,0
2017,6.9500000000000000e+02,3899,19495,0,0,0,0
2017,8.1600000000000000e+02,257,1695,0,0,0,0
2017,8.3300000000000000e+02,2740,3678,0,0,0,0
2017,8.7000000000000000e+02,370,1802,0,0,0,0
2017,9.2700000000000000e+02,50,136,0,0,0,0
2017,9.6100000000000000e+02,2866,14329,0,0,0,0
2017,9.6200000000000000e+02,0,0,0,0,0,0
2017,1.0790000000000000e+03,3,4,0,0,0,0
2017,1.1010000000000000e+03,634,813,0,0,0,0
2017,6.6600000000000000e+02,977,10084,0,0,0,0
2017,3.9200000000000000e+02,0,0,0,0,0,0
2017,7.9000000000000000e+02,1426,17451,452,23885,0,0
2017,6.5000000000000000e+02,3666,8568,0,0,0,0
2017,8.7600000000000000e+02,1582,5583,0,0,0,0
2017,9.4400000000000000e+02,0,0,0,0,0,0
2017,9.5200000000000000e+02,434,2324,0,0,0,0
2017,5.4000000000000000e+01,0,0,25,9085,0,0
2017,3.6700000000000000e+02,435,1238,0,0,0,0
2017,5.3800000000000000e+02,1485,11428,66,2922,0,0
2017,5.5700000000000000e+02,1948,3761,0,0,0,0
2017,6.5300000000000000e+02,415,2134,0,0,0,0
2017,6.4700000000000000e+02,418,791,0,0,0,0
2017,9.7800000000000000e+02,3607,5445,3867,4775,0,0
2017,9.9600000000000000e+02,422,2541,0,0,0,0
2017,7.2900000000000000e+02,5897,29483,327,32188,0,0
2017,1.8200000000000000e+02,0,0,0,0,0,0
2017,6.3300000000000000e+02,0,0,0,0,0,0
2017,6.8500000000000000e+02,444,2221,82,3545,0,0
2017,6.8300000000000000e+02,225,1123,0,0,0,0
2017,9.4500000000000000e+02,116,578,0,0,0,0
2017,9.5300000000000000e+02,0,0,0,0,0,0
2017,1.0220000000000000e+03,33,163,0,0,0,0
2017,1.0490000000000000e+03,33,165,0,0,0,0
2017,7.9400000000000000e+02,4242,38180,86,3196,0,0
2017,4.1500000000000000e+02,739,8132,0,0,0,0
2017,5.9200000000000000e+02,0,0,0,0,0,0
2017,4.9700000000000000e+02,0,0,0,0,0,0
2017,4.5800000000000000e+02,0,0,0,0,0,0
2017,7.2600000000000000e+02,968,7895,143,11726,0,0
2017,2.7200000000000000e+02,0,0,0,0,0,0
2017,8.0500000000000000e+02,3972,26237,150,14744,0,0
2017,2.3400000000000000e+02,209,541,0,0,0,0
2017,6.4000000000000000e+01,0,0,0,0,0,0
2017,8.4200000000000000e+02,0,0,0,0,0,0
2017,8.4300000000000000e+02,646,2452,0,0,0,0
2017,8.0300000000000000e+02,1821,8995,313,1568,0,0
2017,2.1100000000000000e+02,0,0,0,0,0,0
2017,7.7300000000000000e+02,3202,6342,0,0,0,0
2017,4.2400000000000000e+02,5,72,0,0,0,0
2017,2.9800000000000000e+02,97,911,0,0,0,0
2017,5.9400000000000000e+02,0,0,0,0,0,0
2017,2.3700000000000000e+02,0,0,0,0,72,5621
2017,1.6000000000000000e+01,0,0,0,0,0,0
2017,7.6800000000000000e+02,529,1529,0,0,73,5753
2017,6.1700000000000000e+02,1824,7550,0,0,0,0
2017,2.9700000000000000e+02,0,0,0,0,0,0
2017,1.0500000000000000e+02,0,0,0,0,60,2307
2017,5.4400000000000000e+02,2183,5086,0,0,35,3260
2017,8.0400000000000000e+02,1559,6954,0,0,0,0
2017,1.0400000000000000e+02,0,0,155,2672,0,0
2017,2.0000000000000000e+01,0,0,0,0,0,0
2017,5.5000000000000000e+02,160,1259,0,0,0,0
2017,1.1200000000000000e+02,0,0,0,0,67,6357
2017,8.1800000000000000e+02,0,0,0,0,19,4587
2017,8.8200000000000000e+02,0,0,0,0,47,3580
2017,9.1400000000000000e+02,0,0,0,0,95,8373
2017,9.2800000000000000e+02,3029,31087,0,0,0,0
2017,9.6400000000000000e+02,5120,14866,0,0,0,0
2017,1.0260000000000000e+03,0,0,0,0,59,3645
2017,1.0680000000000000e+03,0,0,0,0,499,11786
2017,1.1080000000000000e+03,140,936,0,0,0,0
2017,4.0400000000000000e+02,0,0,0,0,0,0
2017,2.7000000000000000e+02,216,1703,0,0,0,0
2017,6.7600000000000000e+02,546,2732,0,0,0,0
2017,7.0900000000000000e+02,1039,5196,78,4198,0,0
2017,7.5400000000000000e+02,6377,31887,177,6709,0,0
2017,9.9700000000000000e+02,91,455,0,0,0,0
2017,1.0690000000000000e+03,96,480,0,0,0,0
2017,1.1180000000000000e+03,138,927,78,2037,0,0
2017,7.3400000000000000e+02,1548,10751,107,466,992,2660
2017,2.9900000000000000e+02,0,0,0,0,0,0
2017,6.4500000000000000e+02,0,0,0,0,0,0
2017,1.7000000000000000e+01,0,0,0,0,0,0
2017,1.0460000000000000e+03,0,0,0,0,0,0
2017,4.2000000000000000e+02,0,0,0,0,0,0
