año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,8.6700000000000000e+02,0,0,0,0,0
2017,9.1000000000000000e+02,399,237,633,34,3
2017,1.0530000000000000e+03,635,315,958,56,0
2017,1.0550000000000000e+03,1060,237,1417,110,0
2017,1.0810000000000000e+03,0,0,0,0,0
2017,1.0990000000000000e+03,0,0,0,0,0
2017,1.1150000000000000e+03,0,0,0,0,0
2017,5.2900000000000000e+02,0,0,0,0,0
2017,3.4500000000000000e+02,0,0,0,0,0
2017,5.1500000000000000e+02,0,0,0,0,0
2017,1.7400000000000000e+02,0,0,0,0,0
2017,5.2300000000000000e+02,0,0,0,0,0
2017,6.9700000000000000e+02,671,289,956,47,0
2017,2.3900000000000000e+02,0,0,0,0,0
2017,2.8700000000000000e+02,400,199,607,20,0
2017,3.7700000000000000e+02,0,0,0,0,0
2017,6.9200000000000000e+02,974,159,1151,56,0
2017,4.3500000000000000e+02,189,69,258,0,0
2017,4.2300000000000000e+02,34,43,77,0,0
2017,3.5100000000000000e+02,0,0,0,0,0
2017,8.1000000000000000e+02,29,14,43,0,0
2017,8.3000000000000000e+02,830,133,974,0,0
2017,8.9200000000000000e+02,1698,317,2050,126,0
2017,9.2100000000000000e+02,681,301,982,20,0
2017,9.9100000000000000e+02,61,13,72,0,0
2017,9.9200000000000000e+02,703,160,863,32,0
2017,9.9300000000000000e+02,401,140,549,29,0
2017,1.0700000000000000e+03,1320,530,1942,290,0
2017,1.0950000000000000e+03,0,0,0,0,0
2017,1.0940000000000000e+03,0,0,0,0,0
2017,1.1240000000000000e+03,0,0,0,0,0
2017,4.7300000000000000e+02,2213,870,3142,448,0
2017,6.6300000000000000e+02,1083,338,1421,101,0
2017,5.5200000000000000e+02,0,0,0,0,0
2017,7.7200000000000000e+02,0,0,0,0,0
2017,5.6800000000000000e+02,0,0,0,0,0
2017,3.9800000000000000e+02,0,0,0,0,0
2017,3.9400000000000000e+02,0,0,0,0,0
2017,6.1400000000000000e+02,0,0,0,0,0
2017,2.3500000000000000e+02,0,0,0,0,0
2017,6.1600000000000000e+02,0,0,0,0,0
2017,2.6700000000000000e+02,951,731,1726,98,0
2017,5.6500000000000000e+02,0,0,0,0,0
2017,2.2000000000000000e+02,118,100,220,3,0
2017,2.7800000000000000e+02,781,506,1307,57,0
2017,1.0700000000000000e+02,0,0,0,0,0
2017,7.1100000000000000e+02,1216,372,1607,154,0
2017,2.0400000000000000e+02,0,0,0,0,0
2017,5.7900000000000000e+02,0,0,0,0,0
2017,3.4800000000000000e+02,0,0,0,0,0
2017,7.6600000000000000e+02,0,0,0,0,0
2017,7.6100000000000000e+02,0,0,0,0,0
2017,7.2800000000000000e+02,0,0,0,0,0
2017,2.8000000000000000e+02,898,656,1582,106,0
2017,2.2200000000000000e+02,0,0,0,0,0
2017,2.7600000000000000e+02,2026,1001,3100,129,0
2017,1.1000000000000000e+01,125,97,222,0,0
2017,3.0200000000000000e+02,39,36,76,3,0
2017,6.8200000000000000e+02,0,0,0,0,0
2017,2.7900000000000000e+02,1987,974,3087,279,0
2017,2.8200000000000000e+02,1217,755,2009,123,0
2017,2.8100000000000000e+02,536,365,929,76,0
2017,1.8300000000000000e+02,0,0,0,0,0
2017,6.1000000000000000e+02,0,0,0,0,0
2017,1.1600000000000000e+02,0,0,0,0,0
2017,1.1500000000000000e+02,0,0,0,0,0
2017,1.1400000000000000e+02,0,0,0,0,0
2017,1.1900000000000000e+02,0,0,0,0,0
2017,7.7000000000000000e+02,1109,414,1536,131,0
2017,5.8300000000000000e+02,0,0,0,0,0
2017,1.3600000000000000e+02,0,0,0,0,0
2017,4.6900000000000000e+02,84,41,125,2,0
2017,6.4200000000000000e+02,641,164,817,32,0
2017,6.7400000000000000e+02,2583,809,3469,402,0
2017,1.9300000000000000e+02,0,0,0,0,0
2017,5.2600000000000000e+02,1134,322,1503,113,0
2017,6.9800000000000000e+02,0,0,0,0,0
2017,6.3000000000000000e+02,1308,259,1574,82,0
2017,1.2400000000000000e+02,0,0,0,0,0
2017,3.6400000000000000e+02,0,0,0,0,0
2017,4.3900000000000000e+02,288,163,454,10,0
2017,5.7000000000000000e+02,1016,280,1317,117,0
2017,1.2300000000000000e+02,0,0,0,0,0
2017,3.1000000000000000e+02,0,0,0,0,0
2017,5.7100000000000000e+02,534,120,651,29,0
2017,2.9600000000000000e+02,0,0,0,0,0
2017,5.6600000000000000e+02,550,131,681,24,0
2017,7.8400000000000000e+02,1857,395,2287,195,0
2017,1.0200000000000000e+02,0,0,0,0,0
2017,3.7900000000000000e+02,0,0,0,0,0
2017,4.8600000000000000e+02,0,0,0,0,0
2017,5.9500000000000000e+02,480,120,603,29,0
2017,4.3300000000000000e+02,104,27,131,5,0
2017,1.0580000000000000e+03,0,0,0,0,0
2017,2.6100000000000000e+02,18,14,32,0,0
2017,7.3000000000000000e+02,709,227,940,60,0
2017,5.7700000000000000e+02,876,192,1083,56,0
2017,7.8800000000000000e+02,1604,432,2073,190,0
2017,8.6500000000000000e+02,422,90,492,22,0
2017,9.7900000000000000e+02,0,0,0,0,0
2017,9.9800000000000000e+02,0,0,0,0,0
2017,1.0720000000000000e+03,0,0,0,0,0
2017,2.2100000000000000e+02,0,0,0,0,0
2017,5.0600000000000000e+02,86,34,120,0,0
2017,7.2700000000000000e+02,438,205,645,64,0
2017,3.5500000000000000e+02,0,0,0,0,0
2017,4.8700000000000000e+02,0,0,0,0,0
2017,9.3800000000000000e+02,1475,375,1835,172,0
2017,8.8600000000000000e+02,0,0,0,0,0
2017,8.3500000000000000e+02,43,23,66,0,0
2017,9.9900000000000000e+02,0,0,0,0,0
2017,7.9800000000000000e+02,2029,451,2519,224,0
2017,5.0400000000000000e+02,0,0,0,0,0
2017,2.4700000000000000e+02,195,133,328,0,0
2017,2.1600000000000000e+02,144,87,233,5,0
2017,6.5400000000000000e+02,26,11,37,1,0
2017,6.5000000000000000e+01,0,0,0,0,0
2017,4.7200000000000000e+02,116,16,134,10,0
2017,4.2700000000000000e+02,0,0,0,0,0
2017,4.9100000000000000e+02,55,30,85,1,0
2017,5.5100000000000000e+02,59,19,78,1,0
2017,1.0600000000000000e+02,0,0,0,0,0
2017,8.1900000000000000e+02,0,0,0,0,0
2017,8.3600000000000000e+02,0,0,0,0,0
2017,9.1500000000000000e+02,0,0,0,0,0
2017,9.4200000000000000e+02,0,0,0,0,0
2017,1.1400000000000000e+03,0,0,0,0,0
2017,7.4800000000000000e+02,1578,453,2041,174,0
2017,1.9800000000000000e+02,0,0,0,0,0
2017,8.7100000000000000e+02,361,116,474,21,0
